charge	min	max	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
pos	188.0	189.0	0	0	0	0	1	2	1	1	0	1	1	1	0	0	1	2	1	0	2	1	0	2	0	2	1	2	1	0	0	0	1	1	0	1	1	1	0	0	0
pos	189.0	190.0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0	4	0	0	3	5	3	0	0	1	1	0	3	0	0	0	0
pos	190.0	191.0	0	0	1	0	0	0	2	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	3	1	0	0	0	0	0	2	1
pos	191.0	192.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	0	0	0	1	0
pos	192.0	193.0	1	0	0	1	2	2	1	0	0	2	2	1	1	0	0	0	0	2	2	1	2	1	1	3	3	1	0	0	2	2	2	1	2	1	1	0	1	1	1
pos	193.0	194.0	1	0	2	1	0	3	2	0	2	0	1	0	0	1	0	2	0	2	1	0	0	0	0	0	0	3	2	1	2	1	0	0	0	0	0	0	0	0	4
pos	194.0	195.0	2	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	0	0	0	1	0	0	0	1	1	0	2	1	0	0	2	0	2
pos	196.0	197.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
pos	197.0	198.0	1	0	0	1	1	1	1	2	0	1	1	2	1	0	0	0	0	1	1	1	1	2	1	1	1	3	1	1	2	1	1	1	1	2	1	2	1	0	1
pos	198.0	199.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	6	0	1	1	2	0	2	2	0	1
