min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
571.0	5	4	2	6	5	7	2	2	4	4	5	0	6	4	2	3	1	7	3	9	5	5	0	1	2	10	6	7	8	0	6	4	4	6	10	6	3	2	2
572.0	8	6	4	4	2	6	2	0	2	1	5	2	4	1	2	1	1	2	2	3	1	2	4	4	2	9	6	9	4	2	5	1	6	1	3	1	2	3	1
573.0	3	3	0	3	6	8	1	5	3	4	5	0	6	5	4	3	0	9	3	7	3	3	8	3	4	7	10	5	8	0	8	5	4	8	9	7	3	3	5
574.0	5	3	4	4	6	8	2	4	3	5	5	1	3	3	3	3	2	5	3	4	3	2	6	1	0	2	1	0	7	2	1	3	6	3	5	2	2	0	4
575.0	2	1	2	0	5	2	0	3	2	4	3	2	1	1	3	2	0	4	3	4	2	2	5	3	7	7	5	5	5	0	5	2	6	4	2	2	4	2	5
576.0	4	2	3	6	6	6	2	1	3	1	4	2	4	4	2	3	3	6	1	5	3	3	3	3	2	5	4	3	8	2	2	2	2	4	0	6	1	1	3
577.0	3	6	1	1	6	3	2	2	1	4	5	2	3	0	1	4	1	3	4	3	5	1	5	3	1	6	8	6	8	1	6	0	0	2	0	0	2	2	0
578.0	2	3	5	2	6	5	3	2	2	2	3	4	9	3	0	2	0	3	2	3	2	5	2	4	3	5	5	3	6	3	4	2	7	2	3	3	7	3	2
579.0	1	2	0	1	3	3	1	0	4	0	3	3	2	1	2	2	0	1	0	1	1	2	4	1	2	5	4	0	3	1	2	2	3	2	3	1	1	1	0
580.0	2	1	3	2	6	7	1	1	2	0	2	3	4	1	2	1	2	5	2	4	3	4	1	0	2	7	2	4	4	4	5	5	6	2	3	1	9	2	3
581.0	3	7	1	4	3	5	4	4	3	6	4	2	3	3	3	3	0	3	3	4	5	3	3	0	3	9	7	7	4	2	3	4	6	4	4	8	7	4	3
582.0	5	2	4	5	6	6	2	1	2	0	1	2	3	2	2	1	0	6	2	3	1	0	2	1	2	2	3	4	4	2	1	2	4	1	1	3	3	0	1
583.0	3	2	2	3	2	4	1	1	1	0	3	2	0	0	1	0	0	3	0	1	2	0	3	2	2	6	5	6	6	0	13	3	6	2	9	2	4	5	3
584.0	1	3	4	2	1	3	4	2	1	2	1	1	5	3	3	1	3	1	3	1	1	4	4	2	0	3	3	3	5	0	1	2	3	2	2	4	2	2	5
585.0	3	2	1	0	3	4	0	1	1	4	3	3	1	2	1	1	2	3	3	1	4	1	2	3	3	8	3	5	11	0	3	1	6	3	7	4	1	1	2
586.0	6	3	7	5	5	6	4	3	4	2	2	4	11	5	5	4	5	6	4	6	5	6	8	4	3	8	7	4	9	2	7	2	4	1	6	1	2	7	8
587.0	0	3	0	3	6	7	0	0	3	3	6	3	5	0	0	1	0	4	0	7	6	6	6	4	3	6	13	5	6	2	5	4	7	1	5	3	5	2	7
588.0	10	5	9	5	9	11	5	5	3	2	8	7	6	5	2	6	5	12	4	7	5	7	6	6	4	7	7	4	8	6	6	4	7	4	6	7	8	8	6
589.0	2	3	1	2	4	5	0	0	1	0	1	3	3	1	1	2	0	5	0	2	3	3	5	3	3	11	5	4	6	4	9	2	4	1	3	3	1	2	4
590.0	3	2	6	1	6	7	2	0	2	0	0	3	5	2	2	2	3	5	1	3	3	6	7	2	4	7	4	2	4	4	6	4	5	1	1	2	2	1	4
591.0	4	3	0	3	5	7	1	2	1	1	5	2	6	1	1	1	2	6	2	4	7	3	4	5	3	7	5	8	5	6	7	4	4	4	2	4	3	0	2
592.0	5	2	3	9	3	5	0	0	2	1	2	3	5	0	3	1	1	3	0	1	2	5	3	1	2	3	7	2	10	6	4	0	2	1	1	0	1	2	2
