charge	min	max	sample1.peak.table	sample2.peak.table	sample.peak.table
pos	537.9349166906561	537.9351856581145	0	0	1
pos	538.1275318187547	538.1278008825207	0	0	1
pos	538.1321059210723	538.1323749871252	0	0	1
pos	538.2400121985902	538.2402813185963	0	0	1
pos	538.9355980784426	538.9358675462416	0	0	1
pos	539.2089076364971	539.2091772409509	0	0	1
pos	539.3377939345173	539.3380636034143	0	0	1
pos	539.9319317100135	539.9322016759794	0	1	1
pos	540.2035857190427	540.2038558208357	0	0	1
pos	540.9328119264616	540.9330823928676	0	0	1
pos	541.224453229491	541.2247238417177	0	0	1
pos	542.1827263905316	542.1829974818949	0	0	2
pos	542.732235634505	542.7325070006228	0	0	1
pos	542.8285791324897	542.8288505467793	0	0	1
pos	543.1321050599797	543.1323766260323	0	0	1
pos	544.1987760456511	544.1990481450392	0	0	1
pos	544.7301731979231	544.7304455630098	0	0	1
pos	545.1835771786382	545.1838497704268	0	0	1
pos	546.7280848085202	546.7283581725626	0	0	1
pos	547.1979258838262	547.1981994827892	0	0	1
pos	547.2345893639124	547.2348629812071	0	0	1
pos	548.6886042445796	548.6888785888817	0	0	1
pos	548.6979320278069	548.698206376773	0	0	1
pos	548.9210230216081	548.9212974821197	0	0	1
pos	549.2136758388043	549.2139504456422	0	0	1
pos	552.5086412112163	552.5089174655369	0	0	1
pos	555.3322438473523	555.3325215134743	0	0	1
pos	558.5776102135275	558.5778895023326	0	0	1
pos	559.0117935665658	559.0120730724626	0	0	1
pos	559.8822927726012	559.8825727137477	0	0	1
pos	560.1726669418499	560.1729470281834	0	0	1
pos	560.3180505753053	560.3183307343306	0	0	1
pos	560.3183307343306	560.318610893496	0	0	1
pos	560.3197315315584	560.3200116914243	0	0	1
pos	560.7547082836962	560.7549886610504	0	0	2
pos	561.1322231275407	561.1325036936523	0	0	1
pos	561.1333453928287	561.1336259595014	0	0	1
pos	561.1919868767342	561.1922674727276	0	0	1
pos	561.1925480688614	561.1928286651354	0	0	2
pos	561.2127513592011	561.2130319655768	0	0	1
pos	561.6307297212926	561.6310105366575	0	0	1
pos	562.0692535079166	562.0695345425435	0	0	1
pos	562.0695345425435	562.0698155773108	0	0	2
pos	562.2334016533902	562.233682770091	0	0	1
pos	562.9492988711231	562.9495803457726	0	0	2
pos	562.9501432954937	562.9504247705654	0	0	1
pos	563.147773428469	563.1480550023558	0	0	1
pos	563.1488997248608	563.1491812993107	0	0	1
pos	563.1750867509985	563.175368338542	0	0	1
pos	563.2297173703051	563.2299989851639	0	0	1
pos	563.5376064569485	563.5378882257518	0	0	1
pos	563.8318498048319	563.8321317207568	0	0	1
pos	563.8338232192667	563.8341051361783	0	0	1
pos	563.8343870532309	563.8346689704244	0	0	1
pos	564.7180432047443	564.7183255637659	0	0	1
pos	564.916293979349	564.916576437496	0	0	1
pos	565.1278946983346	565.128177262282	0	0	1
pos	565.1634988683243	565.1637814500738	0	0	1
pos	565.1643466139966	565.1646291961699	0	0	1
pos	565.1646291961699	565.1649117784846	0	0	1
pos	565.1914751469352	565.1917577426728	0	0	1
pos	565.1993878809992	565.1996704806932	0	0	1
pos	565.610437131582	565.6107199368006	0	0	1
pos	566.1777457690054	566.1780288578783	0	0	1
pos	566.4311669456756	566.4314501612591	0	0	1
pos	566.9278613839373	566.928144847868	0	0	1
pos	567.332508652677	567.3327923189314	0	0	1
pos	567.42953078257	567.4298144973355	0	0	1
pos	567.8345361200609	567.834820037329	0	0	1
pos	569.1756386642033	569.1759232520227	0	0	2
pos	571.172956687486	571.1732422739644	0	0	1
pos	571.1915201055939	571.191805701354	0	0	1
pos	571.3271941683762	571.3274798319733	0	0	1
pos	574.4448313767542	574.44511859917	0	1	1
pos	578.2102530385221	578.2105421436486	0	0	1
pos	578.4213382488467	578.4216274595159	0	0	1
pos	578.8153772367867	578.8156666444754	0	0	1
pos	578.9091529000934	578.90944235467	0	0	1
pos	578.9308623949537	578.931151860385	0	0	1
pos	580.153405767973	580.1536958446759	0	0	1
pos	581.1762463390203	581.1765369271435	0	0	1
pos	582.8941215080577	582.8944129551185	0	0	1
pos	583.1786431859058	583.1789347752274	0	0	1
pos	583.3267893380233	583.327081001418	0	0	1
pos	585.2131027490567	585.2133953556081	0	0	1
pos	585.3430344472865	585.3433271188038	0	0	1
pos	585.4144506359444	585.4147433431698	0	0	1
pos	585.4290861764971	585.4293788910402	0	0	1
pos	587.2291146512563	587.2294082658136	0	0	1
pos	589.9109286448978	589.9112236003622	0	0	1
pos	591.2246458176129	591.2249414299358	0	0	1
pos	593.1222635551595	593.1225601162913	0	0	1
pos	594.224120407866	594.2244175199263	0	0	1
pos	594.3923095895657	594.3926067857205	0	0	1
pos	594.7038526991149	594.7041500510413	0	0	1
pos	595.2476603668528	595.247957990683	0	0	1
pos	596.7021360205675	596.7024343716356	0	0	1
pos	603.1536970469894	603.1539986238379	0	0	1
pos	605.2036728461192	605.2039754479556	0	0	1
pos	606.2142978011575	606.2146009083065	0	0	1
pos	606.2146009083065	606.214904015607	0	0	1
pos	606.2239973050946	606.2243004170933	0	0	1
pos	607.1176230236077	607.1179265824193	0	0	1
pos	607.3981760981153	607.3984797972034	0	0	1
pos	608.1679330415013	608.1682371254678	0	0	1
pos	608.2299693189672	608.2302734339519	0	0	1
pos	608.4997790688374	608.500083318727	1	0	0
pos	610.2456302372542	610.2459353600693	0	0	1
pos	610.5624298425777	610.5627351237927	0	0	1
pos	611.6003510754135	611.6006568755892	0	0	1
pos	611.9478386651335	611.9481446390529	0	0	1
pos	612.6424872794549	612.6427936006986	0	0	1
pos	612.6427936006986	612.6430999220954	0	0	1
pos	612.6430999220954	612.6434062436455	0	0	1
pos	613.158549356448	613.1588559357227	0	0	1
pos	613.6879334486493	613.6882402926161	0	0	1
