min	10003.peak.table	10025.peak.table	10037.peak.table	10047.peak.table	10085.peak.table	10086.peak.table	10100.peak.table	10107.peak.table	10116.peak.table	10126.peak.table	10134.peak.table	10140_1.peak.table	10173.peak.table	10192.peak.table	10198.peak.table	10199.peak.table	10234.peak.table	10241.peak.table	10244.peak.table	10253.peak.table	10259.peak.table	10281.peak.table	10292.peak.table	10297.peak.table	10306.peak.table	10311.peak.table	10319.peak.table	10329.peak.table	10345.peak.table	10372.peak.table	10374.peak.table	11011.peak.table	11064.peak.table	11115.peak.table	11201.peak.table	11215.peak.table	11254.peak.table	12004.peak.table	13002.peak.table
958.0	2	3	1	2	1	2	3	4	1	1	5	0	2	0	4	6	1	3	2	2	1	5	1	8	5	1	5	9	6	1	1	2	1	2	2	11	1	3	11
959.0	4	10	3	7	10	7	7	7	4	6	11	13	10	1	14	6	6	6	6	6	5	2	4	5	7	7	15	12	10	5	10	6	7	4	11	9	6	10	11
960.0	0	4	4	3	5	2	3	5	3	4	7	3	6	1	9	3	3	0	3	2	2	1	2	3	0	7	2	7	7	2	3	4	3	0	3	6	2	5	8
961.0	1	4	1	1	3	3	1	2	4	3	10	5	4	2	6	2	2	2	2	1	1	3	0	1	3	3	6	11	6	0	5	1	2	2	2	4	0	3	5
962.0	6	7	5	8	11	5	6	5	4	7	12	12	10	2	13	5	6	5	6	6	6	6	4	9	7	5	7	12	14	7	9	4	8	4	7	12	4	8	19
963.0	6	10	2	6	3	3	3	4	2	5	3	3	9	0	7	5	4	0	3	0	2	8	11	5	7	2	7	15	12	1	5	3	4	2	5	10	4	7	13
964.0	6	6	5	7	8	5	5	6	5	6	10	10	10	1	11	6	6	5	5	6	5	8	6	8	7	6	16	9	10	9	8	7	7	7	8	7	5	9	21
965.0	3	1	1	1	0	0	1	1	1	0	1	5	0	1	0	4	1	1	1	0	0	0	2	8	7	5	12	2	8	0	0	0	1	2	2	3	0	7	15
966.0	1	6	6	5	9	6	6	7	2	8	9	2	7	4	18	2	6	3	8	2	2	2	2	14	2	6	10	9	3	7	4	7	4	3	7	6	3	3	15
967.0	5	8	6	6	11	7	7	6	4	8	11	7	10	2	15	6	5	7	7	5	5	5	6	5	11	6	7	12	12	4	9	5	6	4	8	7	5	7	15
968.0	1	0	3	0	1	1	4	1	0	1	4	0	3	0	3	1	3	0	0	1	0	2	1	2	2	2	8	8	4	3	1	1	1	0	2	2	0	3	11
969.0	2	2	1	1	3	1	0	0	1	0	0	1	0	1	1	3	0	1	0	0	3	1	0	1	1	3	7	12	11	0	0	0	6	0	0	3	0	5	9
970.0	0	2	0	2	1	1	2	3	0	1	1	2	1	0	2	8	2	0	2	1	1	1	1	3	3	2	10	8	7	2	0	1	1	0	1	6	0	9	16
971.0	1	2	0	0	2	2	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	3	0	1	1	3	4	6	5	0	0	1	4	0	1	9	1	5	9
972.0	0	0	0	0	3	0	0	3	3	1	1	1	0	1	1	0	1	0	0	0	0	1	0	3	2	5	6	6	4	2	0	0	0	0	5	6	1	5	5
973.0	2	3	1	3	3	1	1	0	4	2	0	4	3	1	1	2	1	1	2	1	0	0	0	8	5	5	5	6	6	1	1	1	1	2	6	6	0	4	6
974.0	0	2	1	0	0	2	1	2	0	0	0	0	0	3	1	3	1	0	2	3	0	4	0	0	1	4	4	4	5	4	3	1	2	2	2	2	1	5	3
975.0	2	2	3	1	1	2	4	0	1	0	1	1	3	1	11	2	0	0	0	0	1	0	0	1	0	3	9	12	8	0	0	4	4	3	2	2	0	4	11
976.0	1	4	0	0	1	0	2	3	1	0	0	1	3	1	2	1	1	1	1	1	0	3	0	3	0	2	6	12	3	3	0	0	3	2	1	1	0	4	15
977.0	0	1	0	1	1	1	0	0	0	0	3	2	5	0	0	0	1	3	3	0	0	0	1	5	5	3	3	3	3	0	1	0	4	0	0	1	0	3	3
978.0	0	3	0	0	0	0	0	0	1	0	1	1	2	0	0	2	3	0	0	2	0	0	1	2	1	3	8	4	4	4	1	0	1	4	2	3	1	3	20
979.0	0	4	0	0	3	1	0	1	0	0	1	0	0	0	0	4	1	0	0	0	0	0	0	7	2	0	6	6	4	1	1	1	3	1	4	5	1	6	7
980.0	0	0	0	0	1	0	0	3	3	0	2	1	0	0	2	2	1	2	0	0	0	1	0	3	1	6	4	4	6	2	2	1	3	1	1	3	0	7	17
981.0	0	2	0	2	2	2	1	1	0	2	1	1	1	0	0	2	0	0	0	1	0	1	2	3	0	2	1	7	6	0	0	1	0	1	0	2	1	6	4
982.0	1	1	2	0	0	0	1	2	0	1	0	1	2	1	6	0	1	0	1	1	0	2	1	0	4	4	1	11	4	3	0	1	2	0	2	2	1	7	6
983.0	1	1	1	0	2	1	0	1	1	1	1	3	1	0	0	0	0	2	1	0	1	1	3	7	2	3	5	5	5	0	1	1	2	1	1	3	2	3	7
984.0	1	4	3	2	2	2	2	1	1	2	2	3	2	2	2	3	2	1	2	2	1	1	0	3	3	2	6	9	7	2	0	1	3	1	1	5	2	2	18
985.0	1	1	0	0	0	0	0	0	0	0	3	3	5	0	0	1	2	0	0	0	0	1	3	8	5	0	3	9	8	0	0	2	2	0	1	4	1	2	20
986.0	0	3	3	2	1	1	1	3	1	0	1	1	1	1	4	0	3	2	3	0	0	0	2	17	4	1	4	8	1	3	0	0	5	1	2	3	0	9	12
987.0	2	2	5	1	2	5	0	0	2	0	1	8	2	1	1	0	0	2	0	1	0	2	2	4	5	4	3	9	7	2	0	1	2	0	1	5	1	7	20
988.0	0	0	0	1	0	0	0	1	2	0	0	2	2	1	0	0	1	1	0	0	1	0	1	1	1	4	3	5	0	2	2	0	0	4	2	3	2	4	8
989.0	0	5	0	1	0	0	0	0	0	0	0	0	0	1	0	2	2	1	0	0	0	0	0	4	2	2	7	7	4	0	0	2	2	1	0	0	3	5	13
990.0	1	5	1	1	0	1	1	1	0	0	1	0	1	0	1	2	1	1	1	0	0	3	0	3	5	7	4	5	3	2	7	0	1	0	0	3	3	3	12
991.0	0	4	0	1	3	4	0	0	2	0	3	4	2	0	0	0	0	1	0	0	2	2	0	9	3	9	2	4	3	0	3	1	2	1	2	3	1	3	10
992.0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	3	0	1	0	0	0	0	0	0	3	4	3	7	10	3	4	2	0	2	3	2	6	1	4	31
993.0	2	2	2	1	3	3	1	0	1	0	3	3	4	1	3	1	1	3	1	2	1	3	0	5	6	3	5	2	7	2	0	1	2	4	3	5	2	4	10
994.0	4	1	0	0	1	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	1	7	7	4	0	4	12	4	4	2	1	1	0	4	4	1	3	21
995.0	0	1	1	1	1	2	1	1	0	3	2	3	2	1	1	2	1	2	1	1	0	3	3	10	3	3	1	4	6	0	1	1	2	1	3	2	1	1	4
996.0	2	0	1	0	0	1	1	0	1	1	0	1	0	3	0	1	2	2	0	1	0	1	4	4	2	2	9	4	6	2	0	1	3	1	1	2	1	5	3
997.0	8	2	1	2	3	4	0	0	1	0	1	4	2	2	0	1	1	1	1	1	0	3	10	8	6	2	6	5	11	0	0	2	4	0	2	2	2	4	6
998.0	1	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	2	2	2	2	1	4	1	2	1	2	2	1	1	0	2	10
999.0	4	5	3	3	5	6	3	0	1	1	3	4	4	1	1	3	0	2	1	2	0	4	3	8	3	5	7	11	8	1	0	1	3	5	4	8	1	9	13
1000.0	2	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	2	0	5	1	2	6	6	2	0	1	1	1	0	0	6	0	5	11
