charge	min	max	01026.peak.table	01038.peak.table
neg	506.28922418905523	506.2894773336674	1	0
neg	506.2894773336674	506.28973047840606	0	2
pos	506.3244125041239	506.3246656663302	0	2
pos	506.3246656663302	506.32491882866304	1	0
pos	506.32491882866304	506.3251719911225	2	1
pos	506.3251719911225	506.3254251537085	1	1
pos	506.3254251537085	506.32567831642115	1	0
pos	506.32593147926036	506.3261846422261	0	1
neg	506.6267783500649	506.62703166345415	0	1
pos	506.7037914539792	506.70404480587496	1	0
pos	506.7151924146986	506.71544577229486	1	0
pos	506.71620584584366	506.7164592039466	0	1
neg	506.91259637474684	506.91284983104504	1	0
neg	507.065707059145	507.06596059199853	1	0
neg	507.06621412497884	507.0664676580859	0	1
pos	507.0920751548883	507.0923287009259	1	0
pos	507.0923287009259	507.0925822470903	1	0
pos	507.0925822470903	507.0928357933815	0	1
neg	507.0973996483006	507.09765319700045	0	1
neg	507.14963335740293	507.14988693221966	1	0
neg	507.14988693221966	507.15014050716314	0	1
pos	507.16966615856023	507.16991974339334	1	1
pos	507.18133119211467	507.1815847827803	0	1
neg	507.26629115905996	507.2665447922056	1	0
pos	507.2812557316373	507.2815093722652	1	0
neg	507.2812557316373	507.2815093722652	1	0
neg	507.2815093722652	507.28176301301994	0	1
neg	507.32031788244205	507.32057154260104	1	0
pos	507.36673980369983	507.36699348706975	1	0
pos	507.36800822181795	507.36826190582207	1	0
pos	507.36826190582207	507.36851558995306	0	1
pos	507.54993221523796	507.5501859902041	1	0
pos	507.6098266259748	507.61008043088816	1	0
neg	508.10930634455184	508.10956039920507	1	0
pos	508.2017906310129	508.20204473190825	0	1
neg	508.23152129794977	508.23177541371047	1	0
pos	508.2467684684856	508.24702259186984	1	0
neg	508.26836940976517	508.2686235439499	0	1
pos	508.30344112845216	508.30369528017275	0	1
pos	508.30394943202043	508.30420358399516	1	0
pos	508.30420358399516	508.304457736097	1	1
pos	508.3405486247899	508.34080279506423	1	0
neg	508.3413111359942	508.3415653066498	0	1
pos	508.3415653066498	508.34181947743247	1	0
pos	508.3629160954214	508.3631702768795	0	1
pos	508.6001226606407	508.6003769607021	1	0
pos	508.6237731103038	508.62402742219035	0	1
neg	508.6242817342041	508.624536046345	0	1
neg	508.6675166248052	508.66777095856355	0	1
pos	508.71304439350473	508.713298750027	0	1
pos	508.74000689262067	508.74026126262413	1	0
neg	508.9766259463705	508.97688043468355	1	0
neg	509.0631593062874	509.0634138378671	0	1
pos	509.0937040045455	509.0939585513975	1	0
neg	509.10184956693854	509.10210411786335	0	1
neg	509.1285781089805	509.1288326732696	0	1
neg	509.12908723768595	509.1293418022296	0	1
neg	509.14665248980566	509.14690706313195	1	0
pos	509.1476707838745	509.14792535770994	1	0
pos	509.14792535770994	509.14817993167264	1	0
neg	509.1509802536634	509.15123482915357	1	0
pos	509.20724453146727	509.20749913508956	1	0
pos	509.2080083427161	509.2082629467203	1	0
pos	509.29076134689456	509.2910159922753	1	0
neg	509.29712751960926	509.29738216817304	1	0
neg	509.29738216817304	509.29763681686416	0	1
pos	509.29992866081386	509.3001833107782	1	0
pos	509.9395011592774	509.93975612902807	1	0
pos	510.21851429983457	510.21876940909175	1	0
pos	510.2593334035224	510.2595885331892	1	0
pos	510.2807647402255	510.2810198806079	1	0
pos	510.2822955844335	510.2825507255813	1	0
pos	510.2825507255813	510.2828058668567	1	2
pos	510.2828058668567	510.28306100825966	1	0
neg	510.2835712914483	510.28382643323397	1	0
neg	510.28408157514724	510.28433671718807	1	2
pos	510.3083206386388	510.30857579279916	1	0
pos	510.3187820638272	510.3190372232183	1	1
pos	510.3190372232183	510.31929238273693	4	0
pos	510.31929238273693	510.31954754238313	2	1
pos	510.31954754238313	510.31980270215695	1	0
neg	510.32924370347706	510.32949886809894	1	0
pos	510.36445762736054	510.3647128095894	1	0
pos	510.3647128095894	510.36496799194583	0	1
pos	510.3657335397807	510.3659887226475	0	1
